date_created,message
2019-11-06 02:15:15,"RT @AndrewSiffert: This is a good read if you don't understand what is going on with the #wildfires in California. 

https://t.co/Iehw2ifcnP"
2019-11-06 02:13:08,"RT @EpochTimes: “Get your act together Governor. You don’t see close to the level of burn in other states.”

Trump renewed his threat to cu…"
2019-11-06 02:12:43,RT @chrisgarcia03: https://t.co/xHSTBgBNBO This is a cool way of how innovation &amp; technology are playing a role to fight #Wildfires. We hav…
2019-11-06 02:12:18,"RT @EpochTimes: “Get your act together Governor. You don’t see close to the level of burn in other states.”

Trump renewed his threat to cu…"
2019-11-06 02:11:37,"RT @EpochTimes: “Get your act together Governor. You don’t see close to the level of burn in other states.”

Trump renewed his threat to cu…"
2019-11-06 02:07:14,"RT @EpochTimes: “Get your act together Governor. You don’t see close to the level of burn in other states.”

Trump renewed his threat to cu…"
2019-11-06 02:06:14,"RT @EpochTimes: “Get your act together Governor. You don’t see close to the level of burn in other states.”

Trump renewed his threat to cu…"
2019-11-06 02:05:43,"RT @EpochTimes: “Get your act together Governor. You don’t see close to the level of burn in other states.”

Trump renewed his threat to cu…"
2019-11-06 02:04:46,"RT @EpochTimes: “Get your act together Governor. You don’t see close to the level of burn in other states.”

Trump renewed his threat to cu…"
2019-11-06 02:03:33,@CShalby This is so important to help firefighters take out #wildfires. Thank you for sharing!
2019-11-06 02:03:32,"RT @JaimeNelsonW: #California #Wildfires Signal the Arrival of a Planetary Fire Age

https://t.co/jYh4Dgi4ij"
2019-11-06 02:02:25,"RT @EpochTimes: “Get your act together Governor. You don’t see close to the level of burn in other states.”

Trump renewed his threat to cu…"
2019-11-06 02:01:12,RT @RockCellarMag: .@Metallica wants to lend a hand and help those affected by the barrage of deadly and destructive California wildfires t…
2019-11-06 02:01:03,"RT @LionGroupWorld: Climate
The horrific price of fighting #wildfires from the skies. Aerial tanker aircraft dump tons of flame retardant #…"
2019-11-06 02:00:18,"RT @EpochTimes: “Get your act together Governor. You don’t see close to the level of burn in other states.”

Trump renewed his threat to cu…"
